STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,AGE,Age,SEX,Sex,SOCIO_ECON_STATUS,Socio-economic status,DEATH_CAUSE,Cause of death,CALC_METHODOLOGY,Calculation methodology,GESTATION_THRESHOLD,Gestation period threshold,HEALTH_STATUS,Health status,DISEASE,Disease,CANCER_SITE,Cancer site,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,RUS,Russia,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1999,,16.9,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,RUS,Russia,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2000,,15.3,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,RUS,Russia,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2001,,14.6,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,RUS,Russia,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2002,,13.3,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,RUS,Russia,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2003,,12.4,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,RUS,Russia,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2004,,11.6,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,RUS,Russia,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2005,,11,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,RUS,Russia,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2006,,10.2,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,RUS,Russia,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2007,,9.4,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,RUS,Russia,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2008,,8.5,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,RUS,Russia,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2009,,8.1,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,RUS,Russia,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2010,,7.5,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,RUS,Russia,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2011,,7.4,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,RUS,Russia,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2012,,8.6,,,,B,Time series break,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,RUS,Russia,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2013,,8.2,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,RUS,Russia,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2014,,7.4,,,,B,Time series break,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,RUS,Russia,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,6.5,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,RUS,Russia,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,6,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,RUS,Russia,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,5.6,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,RUS,Russia,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,5.1,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,RUS,Russia,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,4.9,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,DNK,Denmark,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1960,,21.5,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,DNK,Denmark,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1961,,21.8,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,DNK,Denmark,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1962,,20.1,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,DNK,Denmark,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1963,,19.1,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,DNK,Denmark,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1964,,18.7,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,DNK,Denmark,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1965,,18.7,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,DNK,Denmark,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1966,,16.9,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,DNK,Denmark,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1967,,15.8,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,DNK,Denmark,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1968,,16.4,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,DNK,Denmark,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1969,,14.8,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_HEALTH_STATUS(1.0),Health status,I,DNK,Denmark,A,Annual,INM,Infant mortality,DT_10P3BR_L,Deaths per 1 000 live births,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NONE,No minimum threshold of gestation period or birthweight,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1970,,14.2,,,,,,,,,,,
